idx,chain,chip,bit,blob_n,cx_pct,cy_pct,area
443,2,3,11,0,0.09,55.31,28
445,2,3,13,0,0.31,52.88,16
445,2,3,13,1,0.0,55.45,16
447,2,3,15,0,0.62,49.36,24
450,2,4,2,0,0.16,55.77,16
451,2,4,3,0,0.42,49.89,24
451,2,4,3,1,0.12,53.97,20
452,2,4,4,0,0.31,53.53,24
452,2,4,4,1,0.25,56.54,20
453,2,4,5,0,0.0,55.45,24
456,2,4,8,0,0.78,44.07,16
465,2,5,1,0,0.78,44.07,16
469,2,5,5,0,0.0,52.88,16
479,2,5,15,0,0.31,50.0,16
514,2,8,2,0,0.31,49.68,16
525,2,8,13,0,0.0,53.53,32
534,2,9,6,0,0.12,52.18,20
537,2,9,9,0,0.0,52.56,20
551,2,10,7,0,0.25,49.23,20
552,2,10,8,0,0.62,43.91,16
575,2,11,15,0,0.0,53.53,16
580,3,0,4,0,59.13,26.57,4812
581,3,0,5,0,58.97,26.46,5036
582,3,0,6,0,59.08,26.47,5068
583,3,0,7,0,59.01,26.49,5064
584,3,0,8,0,58.84,26.48,5092
585,3,0,9,0,58.91,26.5,5116
586,3,0,10,0,59.14,26.44,5076
587,3,0,11,0,59.12,26.64,4608
593,3,1,1,0,59.33,47.9,5408
594,3,1,2,0,59.4,47.92,5584
595,3,1,3,0,59.27,47.91,5552
596,3,1,4,0,59.33,47.99,5652
597,3,1,5,0,59.33,47.84,5540
598,3,1,6,0,59.25,47.89,5608
599,3,1,7,0,59.28,47.95,5780
600,3,1,8,0,51.78,47.96,2844
608,3,2,0,0,59.5,71.21,1864
608,3,2,0,1,75.47,73.72,32
608,3,2,0,2,78.67,73.64,32
608,3,2,0,3,41.61,75.82,28
608,3,2,0,4,76.25,66.99,24
608,3,2,0,5,60.62,75.96,24
608,3,2,0,6,76.0,70.64,20
608,3,2,0,7,72.62,73.46,20
608,3,2,0,8,46.75,75.9,20
608,3,2,0,9,58.25,75.9,20
608,3,2,0,10,63.62,76.03,20
608,3,2,0,11,61.09,69.87,16
608,3,2,0,12,69.69,70.19,16
608,3,2,0,13,47.19,72.76,16
608,3,2,0,14,55.31,72.76,16
608,3,2,0,15,58.44,72.76,16
608,3,2,0,16,49.38,76.12,16
609,3,2,1,0,59.62,71.36,5928
610,3,2,2,0,59.65,71.38,5920
611,3,2,3,0,59.61,71.35,5896
612,3,2,4,0,59.79,71.39,5508
620,3,2,12,0,60.4,83.67,5272
621,3,2,13,0,60.12,83.71,5676
622,3,2,14,0,60.07,83.69,5680
623,3,2,15,0,60.24,94.52,4560
624,3,3,0,0,60.23,94.52,4548
774,4,0,6,0,53.23,8.86,1664
774,4,0,6,1,48.84,3.89,108
774,4,0,6,2,69.1,4.56,36
774,4,0,6,3,73.12,9.52,28
775,4,0,7,0,41.8,11.62,32
775,4,0,7,1,60.0,12.82,28
775,4,0,7,2,41.88,6.09,24
775,4,0,7,3,69.06,4.49,16
776,4,0,8,0,59.69,8.71,3456
777,4,0,9,0,59.55,8.65,3440
778,4,0,10,0,59.29,8.58,3344
779,4,0,11,0,59.27,8.64,3300
780,4,0,12,0,59.79,8.7,3324
781,4,0,13,0,53.42,8.23,1788
781,4,0,13,1,74.8,10.09,136
781,4,0,13,2,69.53,6.57,48
781,4,0,13,3,71.65,9.27,44
786,4,1,2,0,62.93,28.99,1828
786,4,1,2,1,52.96,25.13,732
786,4,1,2,2,65.94,22.44,64
786,4,1,2,3,78.12,23.72,44
786,4,1,2,4,44.89,29.66,44
786,4,1,2,5,62.11,24.76,32
787,4,1,3,0,57.59,32.47,80
787,4,1,3,1,40.99,29.22,68
787,4,1,3,2,72.5,32.69,60
787,4,1,3,3,77.33,22.9,44
787,4,1,3,4,49.83,32.11,44
787,4,1,3,5,41.56,22.44,40
787,4,1,3,6,46.62,21.92,20
787,4,1,3,7,51.88,22.28,16
787,4,1,3,8,44.06,32.05,16
788,4,1,4,0,41.55,29.74,100
788,4,1,4,1,57.81,32.51,72
788,4,1,4,2,72.19,32.69,64
788,4,1,4,3,66.25,22.44,60
788,4,1,4,4,41.7,22.16,28
788,4,1,4,5,58.57,21.89,28
788,4,1,4,6,77.77,22.99,28
788,4,1,4,7,51.56,32.05,24
788,4,1,4,8,47.81,32.05,16
789,4,1,5,0,43.85,28.78,200
789,4,1,5,1,71.34,32.75,88
789,4,1,5,2,53.52,22.3,76
789,4,1,5,3,57.81,32.51,72
789,4,1,5,4,64.06,22.44,40
789,4,1,5,5,46.75,22.05,20
789,4,1,5,6,79.5,32.82,20
789,4,1,5,7,69.06,22.44,16
789,4,1,5,8,77.19,23.08,16
790,4,1,6,0,41.51,27.68,156
790,4,1,6,1,57.43,32.54,68
790,4,1,6,2,72.19,32.69,64
790,4,1,6,3,63.75,22.44,36
790,4,1,6,4,46.48,22.04,32
790,4,1,6,5,56.88,22.44,28
790,4,1,6,6,51.98,32.16,24
790,4,1,6,7,69.38,22.44,20
790,4,1,6,8,73.75,23.08,20
790,4,1,6,9,47.5,32.05,20
790,4,1,6,10,77.81,23.08,16
791,4,1,7,0,42.35,27.77,188
791,4,1,7,1,73.09,32.76,72
791,4,1,7,2,57.57,32.47,68
791,4,1,7,3,51.25,22.22,36
791,4,1,7,4,46.56,22.12,32
791,4,1,7,5,57.19,22.44,24
791,4,1,7,6,62.5,22.44,20
791,4,1,7,7,69.38,22.44,20
791,4,1,7,8,65.94,22.44,16
791,4,1,7,9,73.44,23.08,16
791,4,1,7,10,51.56,32.05,16
792,4,1,8,0,41.53,27.82,160
792,4,1,8,1,71.34,32.75,88
792,4,1,8,2,54.05,22.33,76
792,4,1,8,3,57.81,32.51,72
792,4,1,8,4,66.25,22.44,60
792,4,1,8,5,46.56,22.12,32
792,4,1,8,6,78.0,23.21,20
792,4,1,8,7,51.25,32.05,20
792,4,1,8,8,73.44,23.08,16
792,4,1,8,9,47.81,32.05,16
793,4,1,9,0,59.94,27.47,4396
798,4,1,14,0,60.32,48.78,4952
799,4,1,15,0,59.65,48.72,4520
800,4,2,0,0,59.66,48.48,1000
800,4,2,0,1,78.24,48.6,44
800,4,2,0,2,77.75,52.63,40
800,4,2,0,3,60.16,45.99,32
800,4,2,0,4,74.22,48.48,32
800,4,2,0,5,70.7,49.44,32
800,4,2,0,6,60.42,50.32,24
800,4,2,0,7,67.88,47.82,20
800,4,2,0,8,75.94,46.79,16
800,4,2,0,9,73.75,53.04,16
801,4,2,1,0,59.55,48.09,964
801,4,2,1,1,70.94,48.76,64
801,4,2,1,2,77.83,52.39,60
801,4,2,1,3,75.13,47.25,56
801,4,2,1,4,78.39,48.31,56
801,4,2,1,5,60.31,49.87,40
801,4,2,1,6,63.96,46.01,36
801,4,2,1,7,67.66,47.2,32
801,4,2,1,8,41.88,46.47,24
801,4,2,1,9,70.38,53.08,20
801,4,2,1,10,60.62,45.67,16
802,4,2,2,0,59.04,48.17,1056
802,4,2,2,1,76.42,48.2,104
802,4,2,2,2,64.38,46.04,44
802,4,2,2,3,71.12,49.23,40
802,4,2,2,4,77.88,52.56,40
802,4,2,2,5,60.62,45.67,16
802,4,2,2,6,60.31,50.32,16
